league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,shots_faced,goal_assists,offsides,shots_on_target,total_goals,total_shots,saves
GER-Bundesliga,2324,2023-11-25 Borussia Dortmund-Borussia Mönchengladbach,Borussia Mönchengladbach,Moritz Nicolas,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,,0.0,0.0,0.0,9.0
GER-Bundesliga,2324,2023-11-25 Eintracht Frankfurt-VfB Stuttgart,Eintracht Frankfurt,Kevin Trapp,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-25 Eintracht Frankfurt-VfB Stuttgart,VfB Stuttgart,Alexander Nübel,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-25 SC Freiburg-SV Darmstadt 98,SC Freiburg,Noah Atubolu,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-11-25 SC Freiburg-SV Darmstadt 98,SV Darmstadt 98,Alexander Brunst-Zöllner,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-25 VfL Wolfsburg-RB Leipzig,RB Leipzig,Janis Blaswich,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-25 VfL Wolfsburg-RB Leipzig,VfL Wolfsburg,Koen Casteels,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,,0.0,0.0,0.0,8.0
GER-Bundesliga,2324,2023-11-25 Werder Bremen-Bayer Leverkusen,Bayer Leverkusen,Lukas Hradecky,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-25 Werder Bremen-Bayer Leverkusen,Werder Bremen,Michael Zetterer,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-26 1. FC Heidenheim 1846-VfL Bochum,1. FC Heidenheim 1846,Kevin Müller,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-26 1. FC Heidenheim 1846-VfL Bochum,VfL Bochum,Manuel Riemann,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-26 TSG Hoffenheim-Mainz,Mainz,Robin Zentner,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-26 TSG Hoffenheim-Mainz,TSG Hoffenheim,Oliver Baumann,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-12-01 SV Darmstadt 98-FC Cologne,FC Cologne,Marvin Schwäbe,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-12-01 SV Darmstadt 98-FC Cologne,SV Darmstadt 98,Marcel Schuhen,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,,0.0,0.0,0.0,5.0
